Wall time,Step,Value
1695692430.8228736,10,0.4221493601799011
1695692499.8256104,30,0.18506385385990143
1695692534.1530554,40,0.15516704320907593
1695692569.0639899,50,0.1359972059726715
1695692673.2165608,80,0.05881066620349884
1695692742.0833142,100,0.05770278722047806
1695692776.1841638,110,0.05853556469082832
1695692810.1997435,120,0.057634711265563965
1695692912.2973578,150,0.05687637999653816
1695692945.984716,160,0.0566643550992012
1695692979.6270294,170,0.05622115731239319
1695693013.7448316,180,0.057281434535980225
1695693047.2048025,190,0.05751749873161316
1695693080.4076865,200,0.056265540421009064
1695693113.6180801,210,0.0554460808634758
1695693179.9006572,230,0.05446804687380791
1695693213.51097,240,0.053551848977804184
1695693280.020433,260,0.05243346467614174
1695693313.5351,270,0.05181264132261276
1695693347.276998,280,0.052322421222925186
1695693380.8165166,290,0.05097701773047447
1695693413.5982382,300,0.05139123648405075
1695693446.5518177,310,0.051090437918901443
1695693479.8706305,320,0.05005906894803047
1695693512.2019887,330,0.04950018227100372
1695693544.7933109,340,0.050494350492954254
1695693578.0518126,350,0.04924206808209419
1695693644.5865512,370,0.049547310918569565
1695693677.946409,380,0.04921350255608559
1695693710.7676508,390,0.048997897654771805
1695693743.9435287,400,0.05127934366464615
1695693776.6372638,410,0.05043034628033638
1695693842.7958496,430,0.04998479038476944
1695693875.7219787,440,0.04851403087377548
1695693975.5880105,470,0.044265344738960266
1695694008.5322587,480,0.04336713254451752
1695694041.3737237,490,0.04402591288089752
1695694074.5155811,500,0.04286434128880501
1695694107.9601977,510,0.04182806611061096
1695694141.2139804,520,0.040692850947380066
1695694174.6047032,530,0.04072701558470726
1695694207.2715225,540,0.038576554507017136
1695694239.9904637,550,0.03771199285984039
1695694273.3049855,560,0.037599675357341766
1695694339.3266978,580,0.03925149887800217
1695694372.1695402,590,0.04101508855819702
1695694437.9598987,610,0.04270772263407707
1695694470.8390193,620,0.04225410893559456
1695694503.8921635,630,0.040966786444187164
1695694537.2143767,640,0.04001614823937416
1695694602.8559458,660,0.03888406231999397
1695694635.944906,670,0.03847232088446617
1695694669.1139014,680,0.038781873881816864
1695694703.0579228,690,0.03858548030257225
1695694769.2922375,710,0.038322221487760544
1695694803.0595152,720,0.03832545131444931
1695694836.106864,730,0.03817310929298401
1695694868.7364466,740,0.037616003304719925
1695694935.567188,760,0.036714013665914536
1695694968.7734125,770,0.03608560934662819
1695695001.7944503,780,0.03535022214055061
1695695035.1558955,790,0.03447718173265457
1695695068.6821432,800,0.03471891209483147
1695695102.1146998,810,0.03411306068301201
1695695135.6550882,820,0.03371121361851692
1695695168.8331819,830,0.03412827104330063
1695695201.8450592,840,0.03513026610016823
1695695235.9193707,850,0.03588596358895302
1695695269.686711,860,0.036746833473443985
1695695303.5940495,870,0.037174347788095474
1695695337.371403,880,0.03734172135591507
1695695371.53262,890,0.03617556020617485
1695695405.2807627,900,0.03605339303612709
1695695438.945046,910,0.0352163203060627
1695695506.453713,930,0.033506013453006744
1695695573.286518,950,0.033466849476099014
1695695607.2808168,960,0.033305659890174866
1695695641.186855,970,0.032774750143289566
1695695742.6896334,1000,0.03191152960062027
1695695776.5513813,1010,0.03172904998064041
1695695810.437406,1020,0.032146140933036804
1695695877.9042299,1040,0.03143676370382309
1695695911.7238345,1050,0.03152358904480934
1695695979.3732996,1070,0.030284762382507324
1695696013.2068002,1080,0.030004780739545822
1695696046.9340644,1090,0.02951592020690441
1695696080.8499143,1100,0.029388006776571274
1695696114.9458508,1110,0.029989970847964287
